"Type (SHARE_HOST_SITE, FARMERS_MARKET, FOOD_CUPBOARD, SENIOR_MEAL, SOUP_KITCHEN, or WIC_OFFICE) ",Name,Address - Line 1 ,City,State,Zip Code,Description (optional),Families and children? (either ÔYesÕ or leave blank),Seniors? (either ÔYesÕ or leave blank),Wheelchair accessible? (either ÔYesÕ or leave blank),Accepts SNAP? (either ÔYesÕ or leave blank),Accepts FMNP Vouchers? (either ÔYesÕ or leave blank),Accepts Philly Food Bucks? (either ÔYesÕ or leave blank),Hours Available? (either ÔYesÕ or leave blank),Open Sunday? (either ÔYesÕ or leave blank),Open Monday? (either ÔYesÕ or leave blank),Open Tuesday? (either ÔYesÕ or leave blank),Open Wednesday? (either ÔYesÕ or leave blank),Open Thursday? (either ÔYesÕ or leave blank),Open Friday? (either ÔYesÕ or leave blank),Open Saturday? (either ÔYesÕ or leave blank),Sunday Opening Time (either ÔYesÕ or leave blank),Sunday Closing Time (either ÔYesÕ or leave blank),"Monday Opening Time (military time - e.g., 8:00 or 17:00)","Monday Closing Time (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time (military time - e.g., 8:00 or 17:00)","Thursday Opening Time (military time - e.g., 8:00 or 17:00)","Thursday Closing Time (military time - e.g., 8:00 or 17:00)","Friday Opening Time (military time - e.g., 8:00 or 17:00)","Friday Closing Time (military time - e.g., 8:00 or 17:00)","Saturday Opening Time (military time - e.g., 8:00 or 17:00)","Saturday Closing Time (military time - e.g., 8:00 or 17:00)"
FARMERS_MARKET,18th and Christian,18th St and Christian St,Philadelphia,PA,19146,Open June 4th to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,15:00,19:00,,,,,,
FARMERS_MARKET,Broad and Snyder,Broad St and Snyder St,Philadelphia,PA,19148,Open June 17th to October,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,14:00,18:00,,,,,,,,
FARMERS_MARKET,Fountain,11th St and Tasker St,Philadelphia,PA,19147,Open May 21st to end of October,,,,Yes,Yes,,Yes,,,,Yes,,,,,,,,,,15:00,19:00,,,,,,
FARMERS_MARKET,Dickinson Square,East Moyamensing St and Morris St,Philadelphia,PA,19148,Open June 1st to end of October,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,10:00,14:00,,,,,,,,,,,,
FARMERS_MARKET,29th & Wharton,29th St and Wharton St,Philadelphia,PA,19146,Open June 10th to end of October,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,14:00,18:00,,,,,,,,
FARMERS_MARKET,22nd & Tasker,22nd St and Tasker St,Philadelphia,PA,19146,Open June 10th to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,14:00,18:00,,,,,,,,
FARMERS_MARKET,Farm 51,51st St and Chester Ave,Philadelphia,PA,19143,Open May to September,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,,,16:30,19:00,,,,
FARMERS_MARKET,Bartram's Farm Market,54th St and Lindbergh Blvd,Philadelphia,PA,19143,Open June to November,,,,Yes,Yes,,Yes,,,,,Yes,,,,,,,,,,,15:30,18:30,,,,
FARMERS_MARKET,58th & Chester,58th St and Chester St,Philadelphia,PA,19143,Open June 4th to November,,,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,14:00,18:00,,,,,,
FARMERS_MARKET,Earthskeepers,5100 Kingsessing Ave,Philadelphia,PA,19143,Open June 23rd to September,,,,,,,Yes,,Yes,Yes,Yes,Yes,,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,
FARMERS_MARKET,71st and Woodland,71st St and Woodland Ave,Philadelphia,PA,19142,Hours TBD,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
FARMERS_MARKET,52nd & Haverford,52nd St and Haverford Ave,Philadelphia,PA,19139,Open early July to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,,,,,13:00,17:00,,,13:00,17:00,,
FARMERS_MARKET,Clark Park,43rd St and Baltimore Ave,Philadelphia,PA,19104,"Thurs - Open June 5th to ThanksgivingSat - Open year round",,,,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,15:00,19:00,,,10:00,14:00
FARMERS_MARKET,Greensgrow West Farm Stand,4912 Baltimore Ave,Philadelphia,PA,19143,Open April to September,,,,Yes,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,15:00,18:00,,
FARMERS_MARKET,Overbrook Farms,Lancaster Ave and City Ave,Philadelphia,PA,19151,Open May 24th to Thanksgiving,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,9:00,13:00
FARMERS_MARKET,Heritage Farm ,4300 Monument Rd,Philadelphia,PA,19131,Open May 1st to November,,,,Yes,Yes,,Yes,,,,,Yes,,,,,,,,,,,15:00,18:00,,,,
FARMERS_MARKET,University Square,36th St and Walnut St,Philadelphia,PA,19104,Open May 28th to end of October,,,,Yes,Yes,,Yes,,,,Yes,,,,,,,,,,10:00,15:00,,,,,,
FARMERS_MARKET,Mill Creek Farm,Brown St and N 49th St,Philadelphia,PA,19139,Open June to November,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,11:00,14:00
FARMERS_MARKET,Drexel University,32nd St and Chestnut St,Philadelphia,PA,19104,Open May to end of October,,,,Yes,Yes,,Yes,,,Yes,,,,,,,,,11:00,15:00,,,,,,,,
FARMERS_MARKET,Lancaster Ave,Lancaster Ave and Powelton St,Philadelphia,PA,19104,Open May to end of October,,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,10:00,16:00
FARMERS_MARKET,Urban Tree Harvest ,53rd St and Poplar St,Philadelphia,PA,19131,Open May 17th to mid-November,,,,Yes,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,10:00,14:00
FARMERS_MARKET,Walnut Hill,4610 Market St,Philadelphia,PA,19139,Open May 30th to end of October ,,,,Yes,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,16:00,19:00,,
SOUP_KITCHEN,Bright Hope Baptist Church ,12th St and Cecil B. Moore Ave,Philadelphia,PA,19122,Indoor,,,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,18:00,19:15,18:00,19:15,18:00,19:15,18:00,19:15,,,11:00,12:00
SOUP_KITCHEN,Church of The Advocate,2121 N. Gratz St,Philadelphia,PA,19121,Indoor,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,12:00,15:00,10:00,14:00,12:00,15:00,12:00,15:00,12:00,15:00,,
SOUP_KITCHEN,First African Presbyterian Church  ,4159 W Girard Ave,Philadelphia,PA,19104,Indoor,,,,,,,Yes,,,,Yes,,,,,,,,,,12:00,14:00,,,,,,
SOUP_KITCHEN,Genesis Ministries,2229 N. Cleveland St,Philadelphia,PA,19132,Indoor,,,,,,,Yes,,,Yes,,Yes,,,,,,,11:00,14:00,11:00,14:00,11:00,14:00,,,,
SOUP_KITCHEN,Harambee Baptist Church ,5648 Chew Ave,Philadelphia,PA,19138,Indoor,,,,,,,Yes,,,Yes,,Yes,,,,,,,12:30,15:30,12:30,15:30,12:30,15:30,,,,
SOUP_KITCHEN,Holsey Temple ,5305-15 Germantown Ave,Philadelphia,PA,19144,Indoor,,,,,,,Yes,Yes,,Yes,,,,,8:30,9:30,,,11:00,13:00,,,,,,,,
SOUP_KITCHEN,Iglesia Cristiana Avivamiento,541 E. Cambria St,Philadelphia,PA,19134,Indoor,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,,
SOUP_KITCHEN,Lombard Central Presbyterian Church ,4201 Powelton Ave,Philadelphia,PA,19104,Indoor,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,,
SOUP_KITCHEN,Memorial Tabernacle Baptist Church,2249 Hunting Park Ave,Philadelphia,PA,19140,Indoor,,,,,,,Yes,,Yes,,Yes,,,,,,10:00,13:00,,,10:00,14:00,,,,,,
SOUP_KITCHEN,Miller Memorial Baptist Church,1518 N. 22nd St,Philadelphia,PA,19121,Indoor,,,,,,,Yes,,,,,Yes,,,,,,,,,,,12:00,13:30,,,,
SOUP_KITCHEN,Monumental Baptist Church,4948 Locust St,Philadelphia,PA,19139,Indoor,,,,,,,Yes,,,,Yes,,,,,,,,,,12:00,13:00,,,,,,
SOUP_KITCHEN,Mt. Tabor Baptist Church,110 W. Rittenhouse St,Philadelphia,PA,19144,Indoor,,,,,,,Yes,,,,,Yes,,,,,,,,,,,12:00,13:00,,,,
SOUP_KITCHEN,Mt. Zion Baptist Church ,41 W. Rittenhouse St,Philadelphia,PA,19144,Indoor,,,,,,,Yes,,,,Yes,,,,,,,,,,12:00,13:00,,,,,,
SOUP_KITCHEN,Mt. Olive Holy Temple ,1469 N. Broad St,Philadelphia,PA,19122,Indoor,,,,,,,Yes,Yes,,Yes,,,,,14:00,15:00,,,13:00,14:00,,,,,,,,
SOUP_KITCHEN,New Jerusalem CDC,14 E. Clapier St,Philadelphia,PA,19144,Indoor,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,13:00,15:00,,
SOUP_KITCHEN,Open Door Baptist Church,2314-16 N. 26th St,Philadelphia,PA,19121,Indoor,,,,,,,Yes,,,,Yes,,,,,,,,,,11:00,14:00,,,,,,
SOUP_KITCHEN,Our Mother of Sorrows,1030 N. 48th St,Philadelphia,PA,19131,Indoor,,,,,,,Yes,,Yes,Yes,Yes,,,,,,11:00,12:30,11:00,12:30,11:00,12:30,,,,,,
SOUP_KITCHEN,Philadelphia Brotherhood Rescue Mission,401 E. Girard Ave,Philadelphia,PA,19125,Indoor,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,7:00,12:00,7:00,12:00,7:00,12:00,7:00,12:00,7:00,12:00,,
SOUP_KITCHEN,"Poplar St AME Zion Church, Inc",5802 Musgrave St,Philadelphia,PA,19138,Indoor,,,,,,,Yes,,,,Yes,,,,,,,,,,13:00,15:00,,,,,,
SOUP_KITCHEN,Prayer and Faith Temple Church of God in Christ,1541-59 N. 61st St,Philadelphia,PA,19151,"IndoorOnly 3rd Saturday of each month",,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,10:00,11:30
SOUP_KITCHEN,Providence Baptist Church,87 E. Haines St,Philadelphia,PA,19144,Indoor,,,,,,,Yes,,,,,Yes,,,,,,,,,,,11:00,12:15,,,,
SOUP_KITCHEN,Second Pilgrim Baptist Church,554 N. 15th St,Philadelphia,PA,19130,Indoor,,,,,,,Yes,,,Yes,,,,,,,,,10:00,14:00,,,17:00,19:00,,,,
SOUP_KITCHEN,Sherwood Christian Outreach Center,5543 Willows Ave,Philadelphia,PA,19143,Indoor,,,,,,,Yes,,,Yes,,Yes,,,,,,,12:00,14:00,,,12:00,14:00,,,,
SOUP_KITCHEN,Simmons Youth Mission,2225 Huntingdon St,Philadelphia,PA,19132,Indoor,,,,,,,Yes,,,,Yes,,,,,,,,,,13:00,16:00,,,,,,
SOUP_KITCHEN,St Frances Inn,2441 Kensington Ave,Philadelphia,PA,19125,Indoor,,,,,,,Yes,,Yes,Yes,Yes,Yes,,,11:30,13:00,16:30,18:00,16:30,18:00,16:30,18:00,16:30,18:00,11:30,13:00,11:30,13:00
SOUP_KITCHEN,St John's Hospice ,1221 Race St,Philadelphia,PA,19107,Indoor,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,12:00,13:00,12:00,13:00,12:00,13:00,12:00,13:00,12:00,13:00,,
SOUP_KITCHEN,Face to Face Germantown,109 E. Price St,Philadelphia,PA,19114,Indoor,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,12:30,13:45,12:30,13:45,,,,,,,12:30,13:45,12:30,13:45
SOUP_KITCHEN,Sunday Breakfast Rescue Mission,302 N. 13th St,Philadelphia,PA,19107,Indoor,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
SOUP_KITCHEN,Temple Presbyterian Church,1300 N. 7th St,Philadelphia,PA,19122,Indoor,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,11:00,14:00,11:00,14:00,,,,
SOUP_KITCHEN,Victory Shelter Programs,935 N. 42nd St,Philadelphia,PA,19104,"IndoorEvery other Wednesday",,,,,,,Yes,,,,Yes,,,,,,,,,,10:00,12:00,,,,,,
SOUP_KITCHEN,Church of the Living God,801 S. 11th St,Philadelphia,PA,19147,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Word of Deliverance Fellowship Ministry,1500 Dickinson St,Philadelphia,PA,19146,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Grace Baptist Church of Germantown,25 W. Johnson St,Philadelphia,PA,19144,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,The Welcome Church,7241 Germantown Ave,Philadelphia,PA,19119,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Chosen 300,1116 Spring Garden St,Philadelphia,PA,19123,Both Saturday meals served outside May through October,,,,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,10:00,12:00,18:00,20:00,,,18:00,20:00,,,18:00,20:00,17:00,19:00
SOUP_KITCHEN,Philly Restart,19th St and Vine St,Philadelphia,PA,19103,Outdoors,,,,,,,Yes,,Yes,,,,,,,,16:00,17:00,,,,,,,,,,
SOUP_KITCHEN,Liberti Church,123 S. 17th St,Philadelphia,PA,19110,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,The Word in Action,1539 W. Courtland St,Philadelphia,PA,19140,"OutdoorsMust live in 19140, 19141, 19138, or 19124",,,,,,,Yes,,,Yes,,,Yes,,,,,,11:00,12:00,11:00,12:00,11:00,12:00,11:00,12:00,,
SOUP_KITCHEN,Kingdom Empowerment International Ministries,7917 Temple Rd,Philadelphia,PA,19150,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Beulah Baptist Church,5001-21 Spruce St,Philadelphia,PA,19139,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Korean Philadelphia Church,1200 W. Chelthenham Ave,Philadelphia,PA,19126,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Mighty Exploits Ministries,504 S Lansdowne Ave,Philadelphia,PA,19050,Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Transfiguration Baptist Church,3732 Fairmount Ave,Philadelphia,PA,19104,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP_KITCHEN,Resurrection Baptist Church,1610 N. 54th St,Philadelphia,PA,19131,Indoor,,,,,,,Yes,,,,,Yes,,,,,,,,,,,12:00,,,,,
SOUP_KITCHEN,Camphor Memorial United Methodist Church,56thSt and Wyalusing Ave,Philadelphia,PA,19131,"IndoorMust have ID",,,,,,,Yes,,,Yes,,,,,,,,,9:00,12:00,,,,,,,,
SOUP_KITCHEN,Mt Tabor AME Church,961-71 N. 7th St,Philadelphia,PA,19123,Indoor,,,,,,,Yes,,Yes,,,,,,,,12:00,,,,,,,,,,,
SOUP_KITCHEN,Center for H.O.P.E.,901 N. Carlisle St,Philadelphia,PA,19130,Indoor,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7:30,8:30,7:30,8:30,7:30,8:30,7:30,8:30,7:30,8:30,7:30,8:30,7:30,8:30
